Date,Day,HighTemp ,LowTemp ,Precipitation,BrooklynBridge,Total
7/1,Saturday,84.9,72,0.23,"1,848","11,867"
7/2,Sunday,87.1,73,0.00,"2,467","13,995"
7/3,Monday,87.1,71.1,0.45,"2,714","16,067"
7/4,Tuesday,82.9,70,0.00,"2,296","13,925"
7/5,Wednesday,84.9,71.1,0.00,"3,170","23,110"
7/6,Thursday,75.0,71.1,0.00,"3,065","21,861"
7/7,Friday,79.0,68,1.78,"1,513","12,805"
7/8,Saturday,82.9,70,0.00,"2,718","17,258"
7/9,Sunday,81.0,69.1,0.00,"3,048","18,320"
7/10,Monday,82.9,71.1,0.00,"3,506","24,827"
7/11,Tuesday,84.0,75,0.00,"2,929","21,743"
7/12,Wednesday,87.1,77,0.00,"2,860","21,174"
7/13,Thursday,89.1,77,0.00,"2,563","18,290"
7/14,Friday,69.1,64.9,0.35,907,"8,210"
7/15,Saturday,82.9,68,0.00,"2,853","17,259"
7/16,Sunday,84.9,70,0.00,"2,917","17,539"
7/17,Monday,84.9,73.9,0.00,"3,264","23,837"
7/18,Tuesday,87.1,75.9,0.00,"3,507","25,038"
7/19,Wednesday,91.0,77,0.00,"3,114","22,847"
7/20,Thursday,93.0,78.1,0.01,"2,840","20,405"
7/21,Friday,91.0,77,0.00,"2,751","19,773"
7/22,Saturday,91.0,78.1,0.57,"2,301","14,422"
7/23,Sunday,78.1,73,0.06,"2,321","13,297"
7/24,Monday,69.1,63,0.74,"1,576","11,862"
7/25,Tuesday,71.1,64,0.00,"3,191","23,586"
7/26,Wednesday,75.9,66,0.00,"3,821","26,969"
7/27,Thursday,77.0,66.9,0.00,"3,287","23,129"
7/28,Friday,84.9,73,0.00,"3,123","21,741"
7/29,Saturday,75.9,68,0.00,"2,074","14,814"
7/30,Sunday,81.0,64.9,0.00,"3,331","18,696"
7/31,Monday,88.0,66.9,0.00,"3,560","24,284"
